Rank,Title,Year,Rating
136,Jurassic Park,19932h 7mPG-13,8.2
137,Some Like It Hot,19592h 1mApproved,8.2
138,There Will Be Blood,20072h 38mR,8.2
139,The Kid,19211h 8mPassed,8.2
140,The Father,20201h 37mPG-13,8.2
141,All About Eve,19502h 18mApproved,8.2
142,The Sixth Sense,19991h 47mPG-13,8.2
143,Ran,19852h 40mR,8.2
144,Casino,19952h 58mR,8.2
145,No Country for Old Men,20072h 2mR,8.2
146,The Thing,19821h 49mR,8.2
147,Top Gun: Maverick,20222h 10mPG-13,8.2
148,Prisoners,20132h 33mR,8.2
149,Pan's Labyrinth,20061h 58mR,8.2
150,Kill Bill: Vol. 1,20031h 51mR,8.2
151,Unforgiven,19922h 10mR,8.2
152,A Beautiful Mind,20012h 15mPG-13,8.2
153,The Treasure of the Sierra Madre,19482h 6mApproved,8.2
154,Howl's Moving Castle,20041h 59mPG,8.2
155,Finding Nemo,20031h 40mG,8.2
156,Yojimbo,19611h 50mNot Rated,8.2
157,Klaus,20191h 36mPG,8.2
158,The Great Escape,19632h 52mApproved,8.2
159,The Elephant Man,19802h 4mPG,8.2
160,Monty Python and the Holy Grail,19751h 31mPG,8.2
161,The Best of Youth,20036h 14mR,8.4
162,The Chaos Class Failed the Class,19751h 35m,8.5
163,Dial M for Murder,19541h 45mPG,8.2
164,Gone with the Wind,19393h 58mG,8.2
165,The Secret in Their Eyes,20092h 9mR,8.2
166,Demon Slayer: Kimetsu no Yaiba Infinity Castle,20252h 35mR,8.4
167,Chinatown,19742h 10mR,8.1
168,"Lock, Stock and Two Smoking Barrels",19981h 47mR,8.1
169,V for Vendetta,20052h 12mR,8.1
170,Inside Out,20151h 35mPG,8.1
171,Catch Me If You Can,20022h 21mPG-13,8.1
172,Rashomon,19501h 28mNot Rated,8.1
173,"Three Billboards Outside Ebbing, Missouri",20171h 55mR,8.1
174,Trainspotting,19961h 33mR,8.1
175,The Bridge on the River Kwai,19572h 41mPG,8.1
176,Harry Potter and the Deathly Hallows: Part 2,20112h 10mPG-13,8.1
177,Dead Poets Society,19892h 8mPG,8.1
178,Fargo,19961h 38mR,8.1
179,The Wild Robot,20241h 42mPG,8.2
180,Warrior,20112h 20mPG-13,8.1
181,Raging Bull,19802h 9mR,8.1
182,Barry Lyndon,19753h 5mPG,8.1
183,Ben-Hur,19593h 32mG,8.1
184,Million Dollar Baby,20042h 12mPG-13,8.1
185,Mad Max: Fury Road,20152hR,8.1
186,Gran Torino,20081h 56mR,8.1
187,My Neighbor Totoro,19881h 26mG,8.1
188,Children of Heaven,19971h 29mPG,8.2
189,Hacksaw Ridge,20162h 19mR,8.1
190,The Grand Budapest Hotel,20141h 39mR,8.1
191,12 Years a Slave,20132h 14mR,8.1
192,Before Sunrise,19951h 41mR,8.1
193,Ratatouille,20071h 51mG,8.1
194,Blade Runner,19821h 57mR,8.1
195,Memories of Murder,20032h 12mNot Rated,8.1
196,How to Train Your Dragon,20101h 38mPG,8.1
197,Spider-Man: No Way Home,20212h 28mPG-13,8.2
198,Gone Girl,20142h 29mR,8.1
199,"Monsters, Inc.",20011h 32mG,8.1
200,Jaws,19752h 4mPG,8.1
201,In the Name of the Father,19932h 13mR,8.1
202,Ford v Ferrari,20192h 32mPG-13,8.1
203,Wild Tales,20142h 2mR,8.1
204,The Gold Rush,19251h 35mApproved,8.1
205,Sherlock Jr.,192445mPassed,8.1
206,Mary and Max,20091h 32mNot Rated,8.1
207,The Deer Hunter,19783h 3mR,8.1
208,The Wages of Fear,19532h 36mNot Rated,8.1
209,The General,19261h 18mPassed,8.1
210,Logan,20172h 17mR,8.1
211,Mr. Smith Goes to Washington,19392h 9mApproved,8.1
212,Rocky,19762hPG,8.1
213,On the Waterfront,19541h 48mApproved,8.1
214,Tokyo Story,19532h 17mNot Rated,8.1
215,Pirates of the Caribbean: The Curse of the Black Pearl,20032h 23mPG-13,8.1
216,Wild Strawberries,19571h 32mNot Rated,8.1
217,Spotlight,20152h 9mR,8.1
218,La haine,19951h 38mNot Rated,8.1
219,The Third Man,19491h 44mApproved,8.1
220,Jai Bhim,20212h 44mApproved,8.6
221,The Terminator,19841h 47mR,8.1
222,Maharaja,20242h 21m,8.3
223,A Silent Voice: The Movie,20162h 10mNot Rated,8.2
224,The Sound of Music,19652h 54mG,8.1
225,The Big Lebowski,19981h 57mR,8.1
226,The Best Years of Our Lives,19462h 50mApproved,8.1
227,The Seventh Seal,19571h 36mNot Rated,8.1
228,Room,20151h 58mR,8.1
229,Before Sunset,20041h 20mR,8.1
230,Hotel Rwanda,20042h 1mPG-13,8.1
231,Platoon,19862hR,8.1
232,The Incredibles,20041h 55mPG,8.0
233,Chainsaw Man - The Movie: Reze Arc,20251h 40mR,8.4
234,The Exorcist,19732h 2mR,8.1
235,Hachi: A Dog's Tale,20091h 33mG,8.1
236,Marty Supreme,20252h 29mR,8.2
237,Rush,20132h 3mR,8.1
238,The Wizard of Oz,19391h 42mG,8.1
239,Stand by Me,19861h 29mR,8.1
240,The Iron Giant,19991h 26mPG,8.1
241,The Passion of Joan of Arc,19281h 54mPassed,8.1
242,My Father and My Son,20051h 52mNot Rated,8.2
243,The Battle of Algiers,19662h 1mNot Rated,8.1
244,The Handmaiden,20162h 25mNot Rated,8.1
245,Network,19762h 1mR,8.1
246,Gangs of Wasseypur,20125h 21mNot Rated,8.2
247,Drishyam,20152h 43mNot Rated,8.2
248,To Be or Not to Be,19421h 39mApproved,8.1
249,The Grapes of Wrath,19402h 9mApproved,8.1
250,Lost Ladies,20232h 2mTV-14,8.3
